0,1,2,3
"[5.0, 74.0, 36.31578947368421]","[134.0, 203.0, 36.31578947368421]","[265.0, 334.0, 36.31578947368421]","[395.0, 465.0, 36.8421052631579]"
"[10.0, 78.0, 35.78947368421053]","[137.0, 204.0, 35.26315789473684]","[264.0, 332.0, 35.78947368421053]","[392.0, 462.0, 36.8421052631579]"
"[14.0, 80.0, 34.73684210526316]","[139.0, 205.0, 34.73684210526316]","[264.0, 331.0, 35.26315789473684]","[389.0, 457.0, 35.78947368421053]"
"[18.0, 84.0, 34.73684210526316]","[141.0, 206.0, 34.21052631578947]","[263.0, 328.0, 34.21052631578947]","[387.0, 453.0, 34.73684210526316]"
"[17.0, 84.0, 35.26315789473684]","[141.0, 206.0, 34.21052631578947]","[264.0, 330.0, 34.73684210526316]","[388.0, 455.0, 35.26315789473684]"
"[13.0, 80.0, 35.26315789473684]","[137.0, 205.0, 35.78947368421053]","[265.0, 333.0, 35.78947368421053]","[390.0, 460.0, 36.8421052631579]"
