0,1,2,3,4,5
"[42.0, 97.0, 28.947368421052634]","[142.0, 196.0, 28.42105263157895]","[240.0, 291.0, 26.842105263157897]","[333.0, 384.0, 26.842105263157897]","[425.0, 477.0, 27.36842105263158]","[521.0, 575.0, 28.42105263157895]"
"[41.0, 96.0, 28.947368421052634]","[142.0, 196.0, 28.42105263157895]","[240.0, 291.0, 26.842105263157897]","[333.0, 383.0, 26.315789473684212]","[425.0, 476.0, 26.842105263157897]","[522.0, 576.0, 28.42105263157895]"
"[42.0, 96.0, 28.42105263157895]","[142.0, 195.0, 27.894736842105264]","[240.0, 291.0, 26.842105263157897]","[332.0, 382.0, 26.315789473684212]","[425.0, 477.0, 27.36842105263158]","[522.0, 577.0, 28.947368421052634]"
"[40.0, 95.0, 28.947368421052634]","[140.0, 194.0, 28.42105263157895]","[239.0, 290.0, 26.842105263157897]","[332.0, 382.0, 26.315789473684212]","[426.0, 477.0, 26.842105263157897]","[522.0, 577.0, 28.947368421052634]"
